region,case_state,year,lgbtq_total,lgbtq_perc,govt_fund,t,state_policy,temp_id,perc_confirmed,lgbtq_actual
alabama,2,2014,18,12.5,64.3469470070324,5,0,202,0.0384615384615385,0.692307692307692
arkansas,3,2014,12,14.8148148148148,72.5155823780314,5,20.6896551724138,203,0.0294117647058824,0.352941176470588
arizona,4,2014,68,21.4511041009464,47.9444413926715,5,20.6896551724138,204,0.149606299212598,10.1732283464567
california,5,2014,318,21.8707015130674,23.1980149403323,5,98.8505747126437,205,0.151202749140893,48.0824742268041
colorado,6,2014,89,19.6902654867257,48.7703430875792,5,89.6551724137931,206,0.158415841584158,14.0990099009901
connecticut,7,2014,43,21.078431372549,56.8360434331579,5,89.6551724137931,207,0.0677966101694915,2.91525423728814
delaware,8,2014,12,30.7692307692308,52.5478789081841,5,85.0574712643678,208,0.0833333333333333,1
florida,9,2014,143,21.765601217656,46.294577995471,5,9.19540229885057,209,0.122065727699531,17.4553990610329
georgia,10,2014,69,19.5467422096317,49.9517019611877,5,9.19540229885057,210,0.101123595505618,6.97752808988764
hawaii,11,2014,13,7.34463276836158,59.0030674980248,5,73.5632183908046,211,0,0
iowa,12,2014,9,5.92105263157895,56.6021592078125,5,73.5632183908046,212,0.125,1.125
idaho,13,2014,18,14.4,44.3340162264091,5,11.4942528735632,213,0.08,1.44
illinois,14,2014,88,12.9032258064516,56.7899214100537,5,80.4597701149425,214,0.113475177304965,9.98581560283688
indiana,15,2014,17,6.31970260223048,46.4512837375254,5,48.2758620689655,215,0.0491803278688525,0.836065573770492
kansas,16,2014,29,14.2156862745098,65.6473496493162,5,9.19540229885057,216,0.142857142857143,4.14285714285714
kentucky,17,2014,56,16.1383285302594,54.1181777014842,5,18.3908045977011,217,0.0769230769230769,4.30769230769231
louisiana,18,2014,24,15.0943396226415,65.7283141128074,5,9.19540229885057,218,0,0
massachusetts,19,2014,78,23.0088495575221,50.9256900985804,5,82.7586206896552,219,0.133333333333333,10.4
maryland,20,2014,60,16,44.3830444656546,5,73.5632183908046,220,0.109375,6.5625
maine,21,2014,31,13.7777777777778,46.7680004257771,5,94.2528735632184,221,0.264705882352941,8.20588235294118
michigan,22,2014,72,15.0627615062762,52.9139346239297,5,4.59770114942529,222,0.168224299065421,12.1121495327103
minnesota,23,2014,56,15.1761517615176,61.7070366392944,5,71.264367816092,223,0.135802469135802,7.60493827160494
missouri,24,2014,22,8.23970037453183,53.4079852693041,5,13.7931034482759,224,0.0571428571428571,1.25714285714286
mississippi,25,2014,10,10.4166666666667,47.7536682169333,5,4.59770114942529,225,0.136363636363636,1.36363636363636
montana,26,2014,5,7.2463768115942,69.2855729746381,5,11.4942528735632,226,0.0454545454545455,0.227272727272727
north carolina,27,2014,75,17.2018348623853,28.7727203599647,5,16.0919540229885,227,0.0648648648648649,4.86486486486486
north dakota,28,2014,11,16.4179104477612,33.1535747675918,5,4.59770114942529,228,0.25,2.75
nebraska,29,2014,14,12.3893805309735,57.0382686527901,5,13.7931034482759,229,0.368421052631579,5.15789473684211
new hampshire,30,2014,4,8.33333333333333,85.1212513989329,5,68.9655172413793,230,0,0
new jersey,31,2014,70,19.3370165745856,35.1777908882582,5,91.9540229885057,231,0.099236641221374,6.94656488549618
new mexico,32,2014,35,28.2258064516129,34.9178644366615,5,73.5632183908046,232,0.137931034482759,4.82758620689655
nevada,33,2014,12,15.5844155844156,68.719188030829,5,71.264367816092,233,0.159090909090909,1.90909090909091
new york,34,2014,142,15.1871657754011,71.5859716319218,5,66.6666666666667,234,0.139130434782609,19.7565217391304
ohio,35,2014,46,12.1693121693122,40.3959232281628,5,2.29885057471264,235,0.12280701754386,5.64912280701754
oklahoma,36,2014,33,15.4205607476636,49.6603166909352,5,29.8850574712644,236,0.127272727272727,4.2
oregon,37,2014,39,16.3179916317992,51.9772039849176,5,98.8505747126437,237,0.0784313725490196,3.05882352941176
pennsylvania,38,2014,93,17.0955882352941,57.4456769334201,5,48.2758620689655,238,0.225563909774436,20.9774436090226
rhode island,39,2014,8,13.1147540983607,49.9082775857466,5,80.4597701149425,239,0.142857142857143,1.14285714285714
south carolina,40,2014,12,10.9090909090909,57.9476410713727,5,4.59770114942529,240,0.0714285714285714,0.857142857142857
south dakota,41,2014,9,12.8571428571429,39.4048381744808,5,4.59770114942529,241,0.111111111111111,1
tennessee,42,2014,21,9.85915492957746,72.8908145957504,5,4.59770114942529,242,0.05,1.05
texas,43,2014,76,15.8333333333333,46.6746038312018,5,16.0919540229885,243,0.096,7.296
utah,44,2014,45,25.2808988764045,51.0419084162844,5,16.0919540229885,244,0.128205128205128,5.76923076923077
virginia,45,2014,19,8.52017937219731,48.8954118898056,5,39.0804597701149,245,0.0816326530612245,1.55102040816327
vermont,46,2014,5,10.6382978723404,69.4936447973982,5,89.6551724137931,246,0.333333333333333,1.66666666666667
washington,47,2014,55,12.4434389140271,44.6102244715664,5,89.6551724137931,247,0.115942028985507,6.3768115942029
wisconsin,48,2014,45,14.6579804560261,50.6678494765474,5,73.5632183908046,248,0.0476190476190476,2.14285714285714
west virginia,49,2014,17,16.1904761904762,76.5490180583555,5,9.19540229885057,249,0,0
wyoming,50,2014,9,15,58.0329023777844,5,6.89655172413793,250,0.0588235294117647,0.529411764705882
alaska,1,2015,14,15.9090909090909,70.4545454545455,6,11.3924050632911,251,0,0
alabama,2,2015,19,13.6690647482014,58.273381294964,6,0,252,0.0384615384615385,0.730769230769231
arkansas,3,2015,8,10.5263157894737,63.1578947368421,6,8.86075949367089,253,0.0294117647058824,0.235294117647059
arizona,4,2015,58,17.0087976539589,45.1612903225806,6,12.0253164556962,254,0.149606299212598,8.67716535433071
california,5,2015,336,24.0171551107934,56.1829878484632,6,76.5822784810127,255,0.151202749140893,50.8041237113402
colorado,6,2015,90,22.3325062034739,42.6799007444169,6,60.126582278481,256,0.158415841584158,14.2574257425743
connecticut,7,2015,49,22.7906976744186,73.0232558139535,6,62.0253164556962,257,0.0677966101694915,3.32203389830508
delaware,8,2015,9,23.6842105263158,60.5263157894737,6,40.5063291139241,258,0.0833333333333333,0.75
florida,9,2015,151,22.5710014947683,43.1988041853513,6,17.0886075949367,259,0.122065727699531,18.4319248826291
